source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'HuffPost'}",Ed Mazza,'Pathetic Ass Kissing': Critics Slam Trump's Bizarre 'Nobel Peace Prize' Moment,Israeli Prime Minister Benjamin Netanyahu said he nominated the president for the award.,https://www.huffpost.com/entry/trump-peace-prize-netanyahu_n_686cc8efe4b0c11188c95c86,https://img.huffingtonpost.com/asset/686ccf861b0000d92017af67.jpeg?cache=qIwlsHDn24&ops=1200_630,2025-07-08T08:58:35Z,"Critics are calling out President Donald Trump and Israeli Prime Minister Benjamin Netanyahu for an unexpected scene at the White House on Monday. 
Netanyahu, who has been accused of war crimes for … [+3952 chars]"
"{'id': None, 'name': 'Blogdumoderateur.com'}",Étienne Caillebotte,"Entre X et Threads, l’écart se resserre en nombre d’utilisateurs actifs","En un an, Threads a enregistré une croissance de 127,8 % sur iOS et Android. En termes d'utilisateurs actifs quotidiens, la plateforme fait désormais jeu égal avec X.",https://www.blogdumoderateur.com/x-threads-nombre-utilisateurs-actifs/,https://f.hellowork.com/blogdumoderateur/2025/07/threads-comble-ecart-x-1200x628.jpeg,2025-07-08T08:58:22Z,"L’écart entre X et Threads se réduit. Selon une récente étude de Similarweb, relayée par TechCrunch, l’application de microblogging lancée par Meta en juillet 2023 rassemblerait quotidiennement chaqu… [+2462 chars]"
"{'id': None, 'name': 'The Star Online'}",The Star Online,"New trade war deadline prolongs instability, UN trade agency says","GENEVA (Reuters) -The Trump administration's decision to extend a negotiating deadline for tariff rates is prolonging uncertainty and instability for countries, the executive director of the United Nations trade agency said on Tuesday. Read full story",https://www.thestar.com.my/news/world/2025/07/08/new-trade-war-deadline-prolongs-instability-un-trade-agency-says,https://apicms.thestar.com.my/uploads/images/2025/07/08/3406246.jpg,2025-07-08T08:57:00Z,"GENEVA (Reuters) -The Trump administration's decision to extend a negotiating deadline for tariff rates is prolonging uncertainty and instability for countries, the executive director of the United N… [+1245 chars]"
"{'id': 'nbc-news', 'name': 'NBC News'}",The Associated Press,Trump administration revokes terrorism designation of new Syrian leader’s group,The Trump administration is revoking the terrorism designation of a group led by Syria’s new president as part of a broader U.S. engagement with the transitional government since the ouster of former leader Bashar Assad late last year.,https://www.nbcnews.com/world/middle-east/trump-revokes-terrorism-designation-new-syrian-leaders-rcna217406,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2023-11/nebula-cms-fallback-logos-nbcnews-81f6e4.jpg",2025-07-08T08:56:51Z,WASHINGTON (AP) The Trump administration is revoking the terrorism designation of a group led by Syrias new president as part of a broader U.S. engagement with the transitional government since the o… [+3260 chars]
"{'id': None, 'name': 'Anlatilaninotesi.com.tr'}",Sputnik Türkiye,Japonya'dan Trump'ın yüzde 25 vergi kararına tepki: 'Talihsiz',"Japonya Başbakanı İşiba Şigeru, ABD Başkanı Donald Trump'ın ülkesine yüzde 25 tarife uygulama kararının 'talihsiz' olduğunu belirtti. İki ülke arasında karşılıklı yarar sağlayan bir anlaşma için ikili görüşmelerin devam edeceğini söyleyen İshiba, 'Japonya, ge…",https://anlatilaninotesi.com.tr/20250708/japonyadan-trumpin-yuzde-25-vergi-kararina-tepki-talihsiz-1097691404.html,https://cdn.img.anlatilaninotesi.com.tr/images/sharing/article/tur/1097691404.jpg?10902526371751965003,2025-07-08T08:56:42Z,"Rusya, ABD, Avrupa ve Ortadou bata olmak üzere dünyann dört bir yanndan son dakika haberleri, analizler ve özel dosyalar.
https://anlatilaninotesi.com.tr/20250708/japonyadan-trumpin-yuzde-25-vergi-k… [+3127 chars]"
"{'id': None, 'name': 'The Star Online'}",The Star Online,US envoy Kellogg to attend Ukraine aid conference in Rome,"ROME (Reuters) -U.S. President Donald Trump's Ukraine envoy Keith Kellogg will attend a July 10-11 international aid conference on Ukraine in Rome, an Italian government source said, a day after Trump said the U.S. would resume sending weapons to Kyiv. Read f…",https://www.thestar.com.my/news/world/2025/07/08/us-envoy-kellogg-to-attend-ukraine-aid-conference-in-rome,https://apicms.thestar.com.my/uploads/images/2025/07/08/3406233.jpg,2025-07-08T08:56:00Z,"ROME (Reuters) -U.S. President Donald Trump's Ukraine envoy Keith Kellogg will attend a July 10-11 international aid conference on Ukraine in Rome, an Italian government source said, a day after Trum… [+1644 chars]"
"{'id': None, 'name': 'Europapress.es'}",,"xAI actualiza Grok para asumir que los puntos de vista de los medios son ""sesgados""","xAI ha actualizado el asistente conversacional de inteligencia artificial Grok con el fin de que sea consciente de que los puntos de vista de los medios son ""sesgados"" y pueda hacer declaraciones ""políticamente incorrectas"".",https://www.europapress.es/portaltic/socialmedia/noticia-xai-actualiza-grok-asumir-puntos-vista-medios-son-sesgados-20250708105454.html,https://img.europapress.es/fotoweb/fotonoticia_20250708105454_1200.jpg,2025-07-08T08:54:54Z,"MADRID, 8 Jul. (Portaltic/EP) - 
   xAI ha actualizado el asistente conversacional de inteligencia artificial Grok con el fin de que sea consciente de que los puntos de vista de los medios son ""sesg… [+1919 chars]"
"{'id': None, 'name': 'Terra.com.br'}",RFI,Trump diz que Hamas busca cessar-fogo; Netanyahu insiste na retirada dos palestinos de Gaza,"Nenhum progresso significativo foi alcançado sobre a situação em Gaza durante um jantar nesta segunda-feira (7) na Casa Branca entre o primeiro-ministro israelense, Benjamin Netanyahu, e o presidente americano, Donald Trump. O encontro serviu principalmente p…","https://www.terra.com.br/noticias/mundo/america-latina/trump-diz-que-hamas-busca-cessar-fogo-netanyahu-insiste-na-retirada-dos-palestinos-de-gaza,d83801713966750f1fb0407c4851ff12f04bfqnv.html",https://p2.trrsf.com/image/fget/cf/1200/630/middle/images.terra.com/2025/07/08/381300709-ap25188849387954.jpg,2025-07-08T08:54:48Z,"Nenhum progresso significativo foi alcançado sobre a situação em Gaza durante um jantar nesta segunda-feira (7) na Casa Branca entre o primeiro-ministro israelense, Benjamin Netanyahu, e o presidente… [+3471 chars]"
"{'id': None, 'name': 'Faz.net'}",https://www.facebook.com/faz,Liveblog Trump-Zölle: Deutsche Exporteure: Kein Zoll-Deal mit Trump um jeden Preis,Trump hält sich weitere Verschiebung der Zoll-Frist offen +++ Neue Zölle für asiatische Länder +++ „Guter Austausch“ zwischen Trump und von der Leyen +++ alle Neuigkeiten im Liveblog.,https://www.faz.net/aktuell/wirtschaft/trumps-us-zoelle-im-liveticker-deutsche-exporteure-kein-zoll-deal-mit-trump-um-jeden-preis-faz-110405237.html,https://media0.faz.net/ppmedia/aktuell/wirtschaft/293970733/1.10580164/facebook_teaser/dirk-jandura-praesident-des.jpg,2025-07-08T08:53:10Z,"US-Präsident Donald Trump hat das Inkrafttreten der angedrohten hohen Einfuhrzölle ab dem 1. August bestätigt, sollte es nicht zuvor zu einer Einigung mit verschiedenen Ländern kommen. Die USA stünde… [+911 chars]"
"{'id': None, 'name': 'Portfolio.hu'}",Portfolio.hu,Súlyos számok érkeztek: valami nagyon eltört Ukrajnában,"Egy friss felmérés szerint az ukrán lakosság 47%-a úgy véli, hogy tíz év múlva Ukrajna inkább egy lerombolt, jelentős népességcsökkenéssel küzdő ország lesz, nem pedig az Európai Unió virágzó tagállama - közölte az Ukrainszka Pravda.",https://www.portfolio.hu/global/20250708/sulyos-szamok-erkeztek-valami-nagyon-eltort-ukrajnaban-773135,https://pcdn.hu/articles/images-xl/b/a/h/bahmut-ukrajna-orosz-haboru-getty-stock-576178.jpg,2025-07-08T08:52:00Z,"Az ukrán lap által közölt adatok szerint, amelyek a Kijevi Nemzetközi Szociológiai Intézet (KIIS) 2025 május-júniusában végzett felmérésébl származnak, jelentsen
ntt a pesszimista ukránok aránya.
A… [+1585 chars]"
